PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|COUNTY|STATE|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY
RN|72233247|NB110169|AN3911|ACT|3100|386|Commercial Street|5E|1|103|02109||Tastefully furnished top floor two bedroom, one bath condominium, located at 386 Commercial Street, directly across from Battery Wharf. The unit features an open living/dining area with hardwood floors throughout. The u-shaped kitchen, with breakfast bar, is fully applianced. A master bedroom, spacious second bedroom, full bath and excellent closets complete this home. The unit features central air conditioning. The building offers an elevator and common on-site laundry. Commercial Street is convenient to the shops, restaurants and cafes of the historic North End, the Rose Kennedy Greenway, Faneuil Hall and is within walking distance of the Financial District. 386 Commercial Street is a non-smoking building. No pets. No students. Incoming tenant to pay utilities. Due at lease signing: first month's rent, one month security deposit and one month realty fee. Unit can also be rented furnished or partially furnished.|8|9/23/2017 1:06:00 PM|1742798836|Suffolk|MA|C|5|2|1|0||0|0|970|1f;0h|Y|G,J|N||N
RN|72268743|BB922808|BB3204|ACT|5900|4|Dexter Row|D|1|018|02129||SHORT TERM FURNISHED- Stunning and welcoming executive rental in a historic luxury condo overlooking Charlestown’s main square. Brimming with character, this unit includes ALL utilities and offers an excellent alternative to furnished high-rise apartments. This 2nd floor unit features a show-stopping kitchen with an 8 ft island opening onto the living/dining area with antique marble mantle and built-ins. Master bedroom has two closets and vaulted ceiling. Second queen bedroom also works well as an office. Beautiful marble bathroom with tub and in-unit laundry. This unit is fully furnished including all kitchenware, linens, and countertop appliances. Heat, a/c, hot water, electric, TV, and internet included in the rent. Historic townhouse building has a beautiful common yard for tenant use. Exceptionally well-located just steps to the Whole Foods plaza, Starbucks, 92 bus, Hubway, and more. Walk score 91. 3/10 mi to Orange Line T and 1.3 mi to Kendall Square or Downtown Boston. Avail 7/1|15|2/22/2018 12:58:00 PM|8058|Suffolk|MA|C|4|2|1|0||0|3481|950|1f;0h|N||||
RN|72269044|BB805451|AN2973|ACT|1750|323|West Street|2|1|006|02136||Immaculate second floor unit, Newer fully applianced kitchen, with seating nook, Open floorplan to large diningroom and fireplaced livingroom, harwood flooring throughout, large modern bath, private rear deck and common yard, laundry hookup in basement, parking, lovely home.  No pets or students please, close to major routes and transportation.|5|1/9/2018 1:26:00 PM|33554501|Suffolk|MA|D|5|2|1|0|N|0|5000|1000|1f;0h|N||||
RN|72278273|BB981704|BB9884|ACT|2050|11|Symphony|4B|1|105|02115||Available NOW! Nice, large, garden level one bedroom in a beautiful brownstone. Has large open renovated kitchen with dishwasher/disposal and a breakfast bar and a renovated bathroom. Laundry in building. A must see!!!|5|2/6/2018 2:49:00 PM|8564857|Suffolk|MA|D|3|1|1|0||0|99999999|99999|1f;0h|N||N||
RN|72280856|TM308356|NB1840|ACT|2295|4983|Washington St.|1|1|009|02132||FREE RENT FOR JANUARY AND FEBRUARY!!! Renovated in 2015. Spacious 3 bedroom unit on the first floor in a multi-family house located in West Roxbury. Unit features a living room and a modern kitchen with granite countertops and stainless steel appliances. Gleaming hardwood floors throughout. Laundry hook-up in the basement. 1 parking spot included in the rent. Cat friendly for $25/month. Dog is considered on a case by case basis for an additional $75/month upon landlord's approval. Security deposit negotiable. THIS LEASE IS UNTIL 8/31/19 ONLY.|10|9/14/2018 11:24:00 AM|14617591|Suffolk|MA|D|5|3|1|0||1|9999|1200|1f;0h|N||||
RN|72297604|BB954486|NB5359|ACT|5600|10|Emerson Place|2|1|109|02114||Available Now! Perfect for corporate short term accommodations and extended hospital treatment. We're located across from Mass General Hospital and the Charles River esplanade in Charles River Park. Monthly rent for this apartment varies depending on availability & duration of stay. The building features fitness club, club house, 24 hours concierge, 24 security,  Rent includes all utilities, cable and wireless internet.|3|3/23/2018 11:54:00 AM|0|Suffolk|MA|D|4|2|2|0|Y|1|0|1150|2f;0h|N||Y|N|N
RN|72297606|BB954486|NB5359|ACT|3900|10|Emerson Place|24|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views. Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in building and kitchen with stainless steel appliances and granite counters. The building features 24/7 concierge and security, 24 hour fitness center, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area. Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|5|3/23/2018 11:54:00 AM|0|Suffolk|MA|D|4|1|1|0|Y|1|99999999|950|1f;0h|N||Y|N|N
RN|72297608|BB954486|NB5359|ACT|7000|175|Blossom Street|2|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views. Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters. The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area. Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|8|3/23/2018 11:55:00 AM|0|Suffolk|MA|D|5|2|2|0|Y|1|0|1260|2f;0h|N||||N
RN|72297609|BB954486|NB5359|ACT|5000|175|Blossom Street|1|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished unit with breathtaking river and city views. Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters. The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area. Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|4|3/23/2018 11:55:00 AM|0|Suffolk|MA|D|4|1|1|0|Y|1|999999|850|1f;0h|N||Y|N|N
RN|72297610|BB954486|NB5359|ACT|6600|4|Emerson Place|2|1|109|02114||Available immediately or reserve for future dates. Gorgeous furnished penthouse unit with breathtaking river and city views.  Located adjacent to Massachusetts General Hospital & the Charles River Esplanade, near MIT, Whole Foods, Museum of Science, TD Garden, Cambridge Galleria Mall, and minutes to The Red and Green-line Train Stations. This luxurious apartment features an open floor plan, washer/dryer in unit and kitchen with stainless steel appliances and granite counters.  The building features 24/7 concierge and security, 24 hour fitness center, conference room, lounge, underground garage parking, tennis and basketball courts, bike trails, swimming pool access and a children's play area.   Rent includes all furnishings, all utilities, cable, phone and internet. Optional parking is an extra $325/mo.|5|3/23/2018 11:57:00 AM|0|Suffolk|MA|D|5|2|2|0|Y|1|0|1100|2f;0h|N||||N
