id,name,contact,website,phone1,phone2,fax1,email,address1,address2,city,state,zip,source,broker_notes,update_date,listingAgentId
6742669,"""Boston Prime Realty""",,,617-738-8500,,617-738-5757,greg@bostonprimerealty.com,"""375 Harvard St.""",,"""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6742670,"""Proper Realty Group""",,http://www.properrg.com,"(617) 505-5060",,"(617) 830-9890",Proper@ProperRealtyGroup.com,"""1340A  Commonwealth Avenue""",,"""Boston""",MA,02134,"YGL Network","""Fee Split between agencies""",11/27/2018,
6742671,"""David L Dobrowolski""",,,6177839151,,,ddobro@gmail.com,"""1247A Commonwealth Ave""",,"""Allston""",MA,02134,"YGL Network",,04/10/2019,
6742672,"""Liberty Real Estate""",,,"(617) 277-3600",,"(617) 731-8843",libertyre223@gmail.com,"""223 Harvard Ave.""",,"""Allston""",MA,02134,"YGL Network",,04/10/2019,
6742673,"""Brick Realty""",,,857-600-2742,,"(617) 506-3707",contact@breboston.com,"""1246A Commonwealth Ave.""",,"""Allston""",MA,02134,"YGL Network","""Any questions please ask for Robert ONLY! Agents are not to be disturbed! Please, ask for details & Charges;Interview is required Leases are done by Robert E.""",04/12/2019,
6742674,"""Trust Realty One""",,,617-438-3553,781-444-7777,,info@trustrealtyone.com,"""20 Chestnut St.""","""#1""","""Needham""",MA,02492,"YGL Network","""All Applicants must complete a Trust Realty One Rental Application. DO NOT SUBMIT A STANDARD RHA APPLICATION THIS WILL NOT BE ACCEPTABLE.""",04/10/2019,
6742675,"""Daniel Tully""",,http://www.symphonyproperties.com,6174489783,,"(617) 859-3020",Daniel.Tully@gmail.com,"""224 Clarendon Street""","""Suite 52""","""Boston""",MA,02116,"YGL Network","""Unit on Lockbox, Email Daniel.Tully@gmail.com for lockbox information after you've set up showing with tenants.""",04/10/2019,
6742676,"""Matt McNeill""",,,617-997-2406,,,matthewpmcneill@gmail.com,,,,MA,,"YGL Network",,04/10/2019,
6742677,"""Boston management Group""",,,,,,,,,,MA,,"YGL Network","""All leases end 8/29""",04/10/2019,
6742678,"""BOSTON PROPERTY SERVICES, LLC""",,http://www.BostonPropertyServices.com,617-274-8656,,617-274-8658,dave@bostonpropertyservices.com,"""1570 Tremont St""",,"""Boston""",MA,02120,"YGL Network",,04/10/2019,
6742679,"""Marc Roos Realty""",,,,,,,,,,MA,,"YGL Network","""Please use MRR apps and cosigner forms, we will process credit and background checks. processing fees must be in a separate check to MRR""",04/08/2019,
6742680,"""Windsor Realty""",,http://www.windsorrealty.net,"617 312 6778","617 498 0011","(617) 498-0044",rentals@windsorrealty.net,"""2000 Massachusetts Ave.""",,"""Cambridge""",MA,02140,"YGL Network",,04/10/2019,
6742681,"""Precise Realty""",,,781-475-9777,,,Dennis@preciserealtyboston.com,"""210 Broadway""","""NGIN""","""Cambridge""",MA,02139,"YGL Network",,04/10/2019,
6742682,"""Kunevich & Lau""",,,781-974-8134,,,brian@knlrealty.com,"""1128 Commonwealth Ave""",,"""Boston""",MA,02134,"YGL Network","""All deals need to be submitted with Kunevich & Lau paperwork found in YGL documents and first months rent (made out to Kunevich & Lau Realty), deals will not be considered if our paperwork is not used. First, last, security and co-sign forms are required for all students. Professionals with good credit: first, last and 1/2 security are required. Please pick up keys at our Allston office 1128 Commonwealth Ave suite B, Allston MA 02134. Please direct all calls to the property managers #617-487-4868 ext. #6.""",04/10/2019,
6742683,"""Lloyd Rosenthal""",,,617.543.8944,,,lloyd@greenlinerealty.net,,,,MA,,"YGL Network",,04/10/2019,
6742684,"""Phoenix Realty Property Management""",,,,,,,,,,MA,,"YGL Network","""Some listings are direct and some listings are co-brokes. See each listing for fee structure and for specific listing agent. See Broker Unit Notes for specific showing instructions and contact info. Please note, we only accept broker's escrow checks, bank checks or money orders. No personal checks for the initial deposit.    Earn what you're worth!  Phoenix Realty pays 80% Commission Splits! http://www.phoenixrealty.org/careers""",04/10/2019,
6742685,"""RONCO REALTY LLC""",,,617-233-8712,,617-536-3299,RONCOREALTYLLC@AOL.COM,"""879 BEACON ST""",,"""BOSTON""",MA,02215,"YGL Network",,04/10/2019,
6742686,"""Trio Real Estate Group""",,,617-924-9200,,617-731-9101,info@triore.com,"""40 Spring St.""","""Suite #8""","""Watertown""",MA,02472,"YGL Network",,04/10/2019,
6742687,"""SCS Property Management LLC""",,,"(617) 247-3554",,"(617) 505-6451",scspropertymanagement@gmail.com,"""1018 Beacon Street, 2nd Floor""",,"""Brookline""",MA,02446,"YGL Network","""See Key Pickup Info Below: All tenants must be notified by email prior to each showing. All agents must cc scsshowings@gmail.com on all correspondences with tenants when showing unit. Failure to do so will result in immediate removal of our listings from your office. Landlord requires first month's rent, last month's rent and security deposit. All students or non-workers must have cosigner. We use our own cosigner form (email scspropertymanagement@gmail.com if you need this). We require credit on all applicant(s) and cosigner(s). In order to put a deal a hold - agent must drop off application(s) with credit report and check for first month's rent (Send email to find out what entity to make check payable). Landlord requires interview with all applicants.  Email scspropertymanagement@gmail.com if you have any questions. ________________________________________________________________________________________________  Key Information: All properties except 199-201 Boylston Street are on SCS Property Management Master Key (We have a Front Door Master and Unit Key Master). If your office does not have a set please email us at scspropertymanagement@gmail.com to request a set for your office or you can come by our office to borrow keys (1018 Beacon Street, 2nd Floor Brookline, MA).""",04/10/2019,
6742688,"""Lifestyle Furnished Apartments""",,www.bostonfurnishedapartments.com,617-221-3600,,,hello@bostonfurnishedapartments.com,"""220 Beacon Street""","""605""","""Boston""",MA,02116,"YGL Network",,01/12/2019,
6742689,"""Advantage Real Estate""",,www.are-bos.com,617-600-6780,,,info@are-bos.com,"""1066 Commonwealth Avenue""",,"""Boston""",MA,02215,"YGL Network","""DO NOT CALL TO ASK IF ITS AVAILABLE. WE WILL UPDATE. Must provide tenants with 24 hours notice email info@advantagereboston.com with day/time of your showing. You can borrow keys at Advantage Real Estate - 1066 Comm Ave at the time of your showing. Keys are only available for the duration of your showing.  Please use Advantage RE rental application in Documents.  Make checks payable to AA MANAGEMENT 25% referral fee due to Advantage Real Estate.   Please use Advantage RE Rental Application: http://bit.ly/ARE_app Advantage RE Guarantor Form: http://bit.ly/ARE_cosign""",04/10/2019,
6742690,"""Prestige Rental Solutions""",,http://www.prestigerentalsolutions.com,617-232-5991,,617-232-3245,paulhasapt1@aol.com,"""1292 Commonwealth Ave""","""2""","""Allston""",MA,02134,"YGL Network",,04/10/2019,
6742691,"""Hillway Realty Group""",,http://hillwayrealty.com,6176203472,,,rentals@hillwayrealty.com,"""116 SAINT BOTOLPH ST""","""1""","""Boston""",MA,02115,"YGL Network","""DO NOT go to the office to sign out keys without confirming through email first,   ALL students need U.S. Co-signers. No exceptions.  All deals require Hillway Realty paperwork which is on YGL.   $40 credit check fee per applicant payable to Hillway Realty. Hillway will run all credit reports on applicants and cosigners.""",04/10/2019,
6742692,"""Delphi Properties, LLC""",,,617-437-7800,,866-612-9294,jwilson@delphiproperties.com,"""1203 Boylston St.""","""Suite 102""","""Boston""",MA,02215,"YGL Network","""The current office hours for the Delphi office are as follows.  Hours are subject to change any time.  Monday 9am to 5pm Tuesday 9am to 5pm Wednesday 9am to 5pm Thursday 9am to 5pm Friday 9am to 4:30pm Saturday 10am to 2pm Sunday 10am to 2pm""",04/11/2019,
6742693,"""Senné Residential""",,http://www.senneresidential.com,"(617) 314-9400",,,rentals@sennere.com,"""32 Prospect St.""",,"""Cambridge""",MA,02139,"YGL Network",,04/10/2019,
6742694,"""Goodrich Residential""",,,617-227-3825,,617.849.5818,info@goodrichresidential.com,"""55 Causeway St""",,"""Boston""",MA,02114,"YGL Network",,04/12/2019,
6742695,"""Midtown Properties, Inc""",,,617-988-8101,617-834-4071,,jp@midtwn.com,"""65 Harrison Ave.""","""Unit 410""","""Boston""",MA,02111,"YGL Network",,04/11/2019,
6742696,"""Service First""",,,617.820.1113,,,ronan@bostontownproperties.com,"""1577 Beacon Street""",,"""Brookline""",MA,02446,"YGL Network",,04/10/2019,
6742697,"""Gateway Property Management""",,,516-448-1321,,,,,,,MA,,"YGL Network","""Do not call the office number, please contact the listing agent specifically to show. All info should be in the notes""",04/10/2019,
6742698,"""Preview Properties """,,,617-787-0700,,,zach@previewbostonrealty.com,"""1211 Commonwealth Avenue""",,"""Allston""",MA,02134,"YGL Network","""50-50 Co-broke with Preview Properties""",04/10/2019,
6742699,"""Boston Z Realty""",,,617-262-2224,,,dilloncurrier@gmail.com,"""361 Newbury St. 5th Floor""",,"""Boston""",MA,02115,"YGL Network",,04/10/2019,
6742700,"""Andrew Saltzman""",,,617-515-7995,617-236-2020,,andrew_saltzman@hotmail.com,"""842b Beacon St""","""MA""","""Boston""",MA,02215,"YGL Network",,04/10/2019,
6742701,"""Niello Realty Group""",,,617-731-1111,,617-731-2222,info@niellorealtygroup.com,"""235 Harvard St.""",,"""Brookline""",MA,02446,"YGL Network","""***ATTENTION ALL AGENTS*** Make sure you put the apartment keys back into the lockbox and scramble the numbers.  We keep record of all showings.  You and/or your office will be held responsible for missing keys and any resulting damages.  Text at 617 217 1245 to request showings.""",04/10/2019,
6742702,"""Boston Proper Real Estate""",,,617-262-4500,,6172622009,info@bostonproperrealestate.com,"""49 Gloucester St.""",,"""Boston""",MA,02115,"YGL Network",,04/10/2019,
6742703,"""Big River Properties""",,http://www.bigriverboston.com,617-849-5652,,617-849-5652,noah@bigriverboston.com,"""516 East Second St""","""#26""","""South Boston""",MA,02127,"YGL Network","""ALL LISTINGS ARE CO-BROKES UNLESS OTHERWISE SPECIFICALLY NOTED!   SHOWING INSTRUCTIONS:  Building and units are on electronic keypads. Please email office@bigriverboston.com each time you want to show a unit as broker codes change randomly. Please see email instructions below. ALL SHOWINGS REQUIRE 24 HOURS NOTICE TO OUR TENANTS, PLEASE FIND TENANT CONTACT INFO IN THIS LISTING. SHOWINGS BETWEEN 10am - 7:30pm only  Please email us with all of the following in order to gain access to a code: - Your Name - Office Name - Brokers Name - Cell and Office Phone Number - Photocopy of your real estate license or just your license number and expiration date - Which unit you plan to show and date/time you would like to show  First and Security Required to Rent  ALL LISTINGS ARE CO-BROKES UNLESS OTHERWISE SPECIFICALLY NOTED!   WHEN TAKING APPLICATIONS:  We only accept BIG RIVER PROPERTIES applications and guarantor forms. These will be found in our landlord docs on YGL.   We use a secure email server to transmit all files with any sensitive or personal information. Before emailing any applications, IDs, copies of checks, or anything else with sensitive or personal information included, please contact Noah at noah@bigriverboston.com first to obtain the proper email address to reach our secure server.   When writing and sending an application packet, please refer to the Lease Requirements Document found in our landlord docs section on You Got Listings. This will give you all information on what we require as well as who to make the checks out to.   All checks must flow through your brokerage's account. No personal checks will be accepted.   Big River Properties handles the writing of all leases internally via our e-signature system.""",04/10/2019,
