Street,Town,Zip Code,State,Move-in Date,# Bedrooms,# Bathrooms,Home Type,Rent,AC,Washer/Dryer,Dish Washer,Bath,Parking Spot,Washer/Dryer in Building,Elevator,Handicap Access,Pool/Hot Tub,Fitness Center,Storage Unit
159 Brattle St.,Arlington,02474,MA,1/1/2018,4,3,Apartment,4599,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No
12 Stoney Brook Rd,Arlington,02476,MA,1/3/2018,2,3,Apartment,2800,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
100 harvey St,Cambridge,02140,MA,1/6/2018,4,4,Apartment,3011,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
2 greylock rd,Allston,02134,MA,1/11/2018,5,2,Apartment,170,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
36 long ave,Allston,02134,MA,1/13/2018,2,4,Apartment,2482,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
50 Mary St.,Arlington,02474,MA,1/16/2018,3,4,Apartment,2998,No,Yes,No,Yes,No,No,No,No,No,No,No
7 price rd,Allston,02134,MA,1/18/2018,4,1,Apartment,229,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
62 Quint ave,Allston,02134,MA,1/19/2018,5,1,Apartment,4734,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No
557 E 6th St,Boston,02127,MA,1/21/2018,4,3,Apartment,4435,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
327 W 4th St,Boston,02127,MA,1/22/2018,4,3,Apartment,4023,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
3 Gavin Way,Boston,02127,MA,1/24/2018,3,5,Apartment,4333,No,No,No,No,No,Yes,Yes,No,No,No,Yes
185 Silver St,Boston,02127,MA,1/25/2018,3,2,Apartment,3130,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No
224 bowen St,Boston,02127,MA,1/26/2018,3,4,Apartment,3959,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
100 Pier 4 boulevard,Boston,02127,MA,1/27/2018,5,4,Apartment,4915,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
1 Canal St,Boston,02114,MA,1/29/2018,1,3,Apartment,4120,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
30 N Bennet St,Boston,02113,MA,2/1/2018,3,3,Apartment,3581,Yes,No,No,No,No,No,No,No,No,Yes,Yes
37 Sheafe St,Boston,02113,MA,2/6/2018,3,2,Apartment,2722,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No
